Question,Category,Difficulty,Answer
In Telltale Games The Walking Dead: Season One what is the name of Clementines father?,Entertainment: Video Games,medium,Ed
What is the name of James Deans character in the 1955 movie Rebel Without a Cause?,Entertainment: Film,medium,Jim Stark
Which one of these paintings is not by Caspar David Friedrich?,Art,medium,The Black Sea
In what year was the video game company Electronic Arts founded?,History,medium,1982
"The derisive acronym PIIGS refers to which of the following European countries and their economic statuses?,Geography,easy,Portugal, Ireland", Italy, Greece, Spain
Cesar Romero played which iconic Batman villain from the 1960s TV show?,Entertainment: Television,medium,The Joker
What is the full first name of the babysitter in Calvin and Hobbes?,Entertainment: Comics,easy,Rosalyn
"In the Team Fortress 2 canon, what did Shakespearicles NOT invent?",Entertainment: Video Games,hard,Stairs
What is the main ship used by Commander Shepard in the Mass Effect Franchise called?,Entertainment: Video Games,easy,Normandy
"Which country did the Eureka Rebellion, an 1856 battle against colonial rule, take place in?",History,hard,Australia
The Ace Attorney trilogy was suppose to end with Phoenix Wright: Ace Attorney − Trials and Tribulations as its final game.,Entertainment: Video Games,medium,True
"In Animal Crossing: New Leaf, which of these paintings from Redds Art Gallery is always genuine?",Entertainment: Video Games,hard,Warm Painting
"What is the most significant side venture the popular firearms company, Remington, has pursued?",Science: Gadgets,medium,Typewriters
Which of these Starbound races has a Wild West culture?,Entertainment: Video Games,easy,Novakid
Who is the main character in most of the games of the YS series?,Entertainment: Video Games,medium,Adol Christin
"Who is a minor god that is protector and creator of various arts, such as cheese making and bee keeping.",Mythology,hard,Aristaeus
What is the worlds longest venomous snake?,Animals,medium,King Cobra
"Which American celebrity died in 1977 playing golf in La Moraleja, Madrid?",Celebrities,medium,Bing Crosby
What is Laos?,Geography,easy,Country
When was Cadillac founded?,Vehicles,medium,1902
Mongolia was a part of the now non-existent U.S.S.R.,Geography,medium,False
Which of these is NOT the name of a team leader in Pokémon GO?,Entertainment: Video Games,medium,Leif
When was the game Portal 2 released?,Entertainment: Video Games,easy,2011
Who plays the character of Po in the Kung Fu Panda movies?,Entertainment: Film,easy,Jack Black
Which of the following is the oldest of these computers by release date?,Science: Computers,hard,TRS-80
The 2002 film 28 Days Later is mainly set in which European country?,Entertainment: Film,easy,United Kingdom
Arriva is owned by the Deutsche Bahn.,Vehicles,medium,True
Which TV chef wrote an autobiography titled Humble Pie?,Celebrities,medium,Gordon Ramsay
"What kind of train was Stepney, a train on the Bluebell Railway notable for his appearance in The Railway Series?",Vehicles,hard,LB&SCR A1X
What is the official national language of Pakistan?,Geography,medium,Urdu
Which of the following is NOT a summon in the game South Park: The Stick of Truth?,Entertainment: Video Games,easy,Towelie
"In Michael Crichtons novel Jurassic Park, John Hammond meets his demise at the claws of which dinosaur?",Entertainment: Books,medium,Procompsognathus
Who was elected leader of the UK Labour Party in September 2015?,Politics,medium,Jeremy Corbyn
What is a Burgee?,General Knowledge,medium,A flag
Which of these characters wasnt a villian in Club Penguin?,Entertainment: Video Games,hard,The Director
Which U.S. president is said to have had the longest beard?,Politics,medium,Rutherford B. Hayes
Foie gras is a French delicacy typically made from what part of a duck or goose?,General Knowledge,easy,Liver
Who is the founder of Palantir?,Science: Computers,hard,Peter Thiel
The prefix Sino- (As in Sino-American) is used to refer to what nationality?,Geography,hard,Chinese
What year was Canada founded in?,History,hard,1867
Which of these Nickelodeon game shows aired first?,Entertainment: Television,hard,Double Dare
What is the name of the villian in the 2015 Russian-American Sci-Fi Movie Hardcore Henry?,Entertainment: Film,medium,Akan
Who did Steven Gerrard win the Champions League with?,Sports,easy,Liverpool
"In Halo, what is the name of the planet which Installation 04 orbits?",Entertainment: Video Games,hard,Threshold
The Raspberry Pi series of single-board computers were created in the United States.,Science: Computers,medium,False
The Quadrangularis Reversum is best described as which of the following?,General Knowledge,hard,A percussion instrument
